Hour,Temperature,Humidity,WindSpeed,GeneralDiffuseFlows,DiffuseFlows,PowerConsumption_Zone1,PowerConsumption_Zone2,PowerConsumption_Zone3,TotalConsumption
0,6.559,73.8,0.083,0.051,0.119,34055.6962,16128.87538,20240.96386,70425.53543999999
0,6.414,74.5,0.083,0.07,0.085,29814.68354,19375.07599,20131.08434,69320.84387000001
0,6.313,74.5,0.08,0.062,0.1,29128.10127,19006.68693,19668.43373,67803.22193
0,6.121,75.0,0.083,0.091,0.096,28228.86076,18361.09422,18899.27711,65489.23208999999
0,5.921,75.7,0.081,0.048,0.085,27335.6962,17872.34043,18442.40964,63650.44627
0,5.853,76.9,0.081,0.059,0.108,26624.81013,17416.41337,18130.12048,62171.343980000005
1,5.641,77.7,0.08,0.048,0.096,25998.98734,16993.31307,17945.06024,60937.360649999995
1,5.496,78.2,0.085,0.055,0.093,25446.07595,16661.39818,17459.27711,59566.75124
1,5.678,78.1,0.081,0.066,0.141,24777.72152,16227.35562,17025.54217,58030.61931
1,5.491,77.3,0.082,0.062,0.111,24279.49367,15939.20973,16794.21687,57012.92027
1,5.516,77.5,0.081,0.051,0.108,23896.70886,15435.86626,16638.07229,55970.647410000005
1,5.471,76.7,0.083,0.059,0.126,23544.3038,15213.37386,16395.18072,55152.858380000005
2,5.059,78.6,0.081,0.07,0.096,23003.5443,15169.60486,16117.59036,54290.73952
2,4.968,78.8,0.084,0.07,0.134,22329.11392,14710.0304,15822.6506,52861.79492
2,4.975,78.9,0.083,0.055,0.152,22092.1519,14421.8845,15672.28916,52186.32556
2,4.897,79.1,0.083,0.07,0.096,21903.79747,14104.55927,15597.10843,51605.46517
2,5.02,79.7,0.081,0.051,0.134,21685.06329,13965.95745,15510.36145,51161.382190000004
2,5.407,78.5,0.082,0.062,0.163,21484.55696,13612.15805,15336.86747,50433.58248
3,5.169,77.9,0.083,0.066,0.108,21107.8481,13535.56231,15140.24096,49783.65136999999
3,5.081,77.7,0.084,0.051,0.13,20998.48101,13371.42857,15059.27711,49429.18669
3,5.041,77.2,0.081,0.062,0.152,20870.88608,13196.35258,15013.01205,49080.25071
3,5.034,76.9,0.083,0.051,0.185,20870.88608,13167.17325,14897.3494,48935.40873
3,4.896,76.6,0.085,0.07,0.137,20597.46835,13137.99392,14602.40964,48337.87191
3,4.805,76.2,0.081,0.059,0.134,20421.26582,12908.20669,14590.84337,47920.31588
4,4.753,75.7,0.083,0.044,0.134,20524.55696,12820.66869,14585.06024,47930.28589
4,4.901,74.4,0.083,0.07,0.122,20482.02532,13032.21884,14452.04819,47966.29235
4,5.203,74.1,0.085,0.062,0.096,20530.63291,12926.44377,14232.28916,47689.36584
4,5.394,71.9,0.081,0.073,0.1,20512.40506,12948.32827,14157.10843,47617.84176
4,5.156,74.0,0.079,0.062,0.148,20494.17722,12922.79635,14232.28916,47649.26273
4,5.179,74.2,0.083,0.037,0.137,20311.89873,12879.02736,14243.85542,47434.78151
5,4.934,72.9,0.082,0.055,0.134,20542.78481,12806.07903,14243.85542,47592.719260000005
5,4.718,75.8,0.08,0.051,0.152,20621.77215,12853.49544,14105.06024,47580.32783
5,5.546,74.0,0.082,0.055,0.093,20627.8481,12842.55319,14266.98795,47737.389240000004
5,4.658,73.5,0.08,0.044,0.104,20797.97468,13137.99392,14353.73494,48289.70354
5,4.382,76.9,0.081,0.073,0.148,20858.73418,13203.64742,14538.79518,48601.17678
5,4.212,78.3,0.081,0.117,0.082,21393.41772,13575.68389,14862.6506,49831.75221
6,4.308,77.2,0.081,0.062,0.126,22219.74684,14068.08511,14908.91566,51196.74761
6,4.735,74.3,0.08,0.04,0.156,21928.10127,13852.88754,14729.63855,50510.62736
6,4.769,75.6,0.082,0.099,0.063,21776.20253,13626.74772,14625.54217,50028.492419999995
6,4.92,73.7,0.083,0.099,0.096,21654.68354,13582.97872,14480.96386,49718.62612
6,4.408,76.7,0.082,0.037,0.119,21466.32911,13539.20973,14319.03614,49324.574980000005
6,4.29,77.0,0.085,0.033,0.193,20846.58228,12908.20669,14018.31325,47773.10222
7,4.304,76.0,0.082,0.048,0.152,19983.79747,12342.85714,13492.04819,45818.7028
7,4.513,74.6,0.084,0.055,0.134,18908.35443,11897.87234,12630.36145,43436.588220000005
7,4.489,74.3,0.082,0.081,0.119,18167.08861,11551.36778,11600.96386,41319.420249999996
7,4.356,72.3,0.082,0.07,0.119,18075.94937,11263.22188,10640.96386,39980.13511
7,4.478,72.2,0.083,0.073,0.089,18063.79747,10719.75684,10455.90361,39239.45792
7,4.583,71.0,0.083,0.066,0.104,18045.56962,10924.01216,10496.38554,39465.967319999996
8,4.794,72.0,0.084,0.187,0.145,18385.82278,10949.54407,10710.36145,40045.7283
8,4.807,73.1,0.082,0.955,0.949,18987.34177,11347.11246,10837.59036,41172.04459
8,4.757,73.5,0.083,3.188,3.134,19576.70886,11733.7386,10941.68675,42252.134210000004
8,4.509,74.5,0.084,6.643,6.494,19837.97468,11945.28875,11178.79518,42962.05861
8,4.346,74.8,0.082,12.64,10.13,20166.07595,12029.17933,11514.21687,43709.47215
8,4.718,73.7,0.081,58.97,17.0,20676.4557,12426.74772,11959.51807,45062.721489999996
9,4.704,71.8,0.083,82.5,20.15,21296.20253,12871.73252,12283.37349,46451.30854
9,4.624,74.1,0.082,106.9,22.55,22043.5443,13203.64742,12427.95181,47675.14353
9,4.629,74.8,0.083,132.1,24.3,22651.13924,13542.85714,12826.98795,49020.98433
9,4.599,74.0,0.082,156.1,26.9,23131.13924,14046.20061,13121.92771,50299.26756000001
9,4.524,74.7,0.081,182.4,28.19,23641.51899,14392.70517,13648.19277,51682.41693
9,4.575,74.5,0.082,208.8,29.2,24668.35443,14830.39514,13850.60241,53349.35198
10,5.124,73.7,0.076,234.8,29.23,25275.94937,15238.90578,14162.89157,54677.746719999996
10,5.836,71.3,2.66,257.9,31.01,25920.0,15837.08207,14428.91566,56185.99773
10,5.996,69.85,4.93,282.7,31.96,26393.92405,16059.57447,14671.80723,57125.30575
10,6.22,68.81,4.924,307.0,32.42,26861.77215,16322.18845,15036.14458,58220.10518
10,6.703,68.01,4.923,327.6,33.22,27511.89873,16774.46809,15267.46988,59553.8367
10,6.993,66.14,4.918,349.6,33.41,28149.87342,17164.74164,15244.33735,60558.95241
11,7.54,64.21,4.916,371.1,33.43,28714.93671,17507.59878,15591.3253,61813.860790000006
11,8.22,61.9,4.916,388.2,33.89,29043.03797,17478.41945,15816.86747,62338.32489
11,9.49,59.3,2.451,401.3,34.4,29261.77215,17792.09726,15932.53012,62986.399529999995
11,10.65,56.03,0.084,419.5,35.29,29474.43038,17748.32827,16053.9759,63276.73455
11,11.06,53.52,0.082,430.9,37.58,29523.03797,17963.52584,16256.38554,63742.949349999995
11,12.4,53.26,0.08,437.5,43.46,29711.39241,18142.24924,16354.6988,64208.34045
12,13.08,54.36,0.077,450.4,43.2,29644.55696,18131.30699,16562.89157,64338.75552
12,14.38,54.42,0.076,470.5,37.92,29802.53165,18102.12766,16522.40964,64427.06895
12,15.02,56.46,0.074,480.0,38.81,29887.59494,18156.83891,16649.63855,64694.072400000005
12,15.55,58.7,0.075,486.1,39.46,30039.49367,18335.56231,16869.39759,65244.453570000005
12,15.56,59.23,0.076,490.2,40.92,29966.58228,18204.25532,17094.93976,65265.77736
12,15.49,59.3,0.076,495.9,40.9,29996.96203,18196.96049,17418.79518,65612.71770000001
13,15.57,58.06,0.077,498.1,40.94,30258.22785,18466.8693,17413.01205,66138.1092
13,15.65,58.7,0.077,498.1,42.75,30404.05063,18350.15198,17436.14458,66190.34719
13,15.73,59.33,0.076,498.8,44.65,30094.17722,18331.91489,17332.04819,65758.1403
13,15.68,58.6,0.079,497.0,44.26,30161.01266,18419.45289,17465.06024,66045.52579
13,15.7,55.29,0.074,489.2,39.32,30318.98734,18310.0304,17164.33735,65793.35509
13,15.75,52.45,0.077,482.4,38.65,30154.93671,18390.27356,16979.27711,65524.487380000006
14,15.83,54.99,0.079,476.1,39.49,29984.81013,18353.79939,17054.45783,65393.06735
14,15.79,56.66,0.076,467.7,39.94,30021.26582,18142.24924,17048.6747,65212.18976000001
14,15.72,55.86,0.077,456.1,39.95,30021.26582,18113.06991,16950.36145,65084.69718
14,15.8,54.06,0.075,449.2,41.52,29911.89873,18036.47416,16823.13253,64771.50542
14,15.74,55.56,0.075,437.4,44.13,29747.8481,17996.35258,16684.33735,64428.538029999996
14,15.72,56.69,0.077,422.0,43.87,29705.31646,17952.58359,16678.55422,64336.45427
